"","PeriodID","PeriodValue","Latitude","Longitude","SentimentType","Type","EntityName"
"407",31,"03 Feb 2015",43.7844397,-88.7878678,1,"P","Joe Biden"
"408",31,"03 Feb 2015",45.0941315,-93.3563405,1,"P","Joe Biden"
"409",31,"03 Feb 2015",41.4542604,-74.0576423,1,"P","Joe Biden"
"410",31,"03 Feb 2015",35.7595731,-79.0192997,-1,"N","Joe Biden"
"411",31,"03 Feb 2015",-33.9248685,18.4240553,0,"O","Joe Biden"
"412",31,"03 Feb 2015",27.6648274,-81.5157535,1,"P","Joe Biden"
"413",31,"03 Feb 2015",30.6964406,-88.1803557,1,"P","Joe Biden"
"414",31,"03 Feb 2015",41.5964869,-72.8776013,1,"P","Joe Biden"
"415",31,"03 Feb 2015",32.7766642,-96.7969879,1,"P","Joe Biden"
"416",31,"03 Feb 2015",35.20105,-91.8318334,1,"P","Joe Biden"
"417",31,"03 Feb 2015",49.2827291,-123.1207375,-1,"N","Joe Biden"
"418",31,"03 Feb 2015",41.079273,-85.1393513,-1,"N","Joe Biden"
"419",31,"03 Feb 2015",42.7870209,-73.9709583,-1,"N","Joe Biden"
"420",31,"03 Feb 2015",39.7728846,-75.0518583,-1,"N","Joe Biden"
"421",31,"03 Feb 2015",40.018416,-74.816778,1,"P","Joe Biden"
"422",31,"03 Feb 2015",41.5726229,-72.6408139,1,"P","Joe Biden"
"423",31,"03 Feb 2015",41.2523634,-95.9979883,-1,"N","Joe Biden"
"424",31,"03 Feb 2015",34.0522342,-118.2436849,-1,"N","Joe Biden"
"425",31,"03 Feb 2015",40.7830603,-73.9712488,1,"P","Joe Biden"
"426",31,"03 Feb 2015",39.011902,-98.4842465,1,"P","Joe Biden"
"427",31,"03 Feb 2015",42.492786,-92.3425775,1,"P","Joe Biden"
"428",31,"03 Feb 2015",44.7677424,-93.2777226,0,"O","Joe Biden"
"429",31,"03 Feb 2015",33.836081,-81.1637245,1,"P","Joe Biden"
"430",31,"03 Feb 2015",32.3668052,-86.2999689,1,"P","Joe Biden"
"431",31,"03 Feb 2015",40.7282239,-73.7948516,1,"P","Joe Biden"
"432",31,"03 Feb 2015",39.3617596,-74.5820819,1,"P","Joe Biden"
"433",31,"03 Feb 2015",33.3528264,-111.789027,0,"O","Joe Biden"
"434",31,"03 Feb 2015",34.0900091,-118.3617443,1,"P","Joe Biden"
"435",31,"03 Feb 2015",36.947057,-76.3029069,1,"P","Joe Biden"
"436",31,"03 Feb 2015",35.110703,-106.609991,-1,"N","Joe Biden"
"437",31,"03 Feb 2015",43.2081366,-71.5375718,1,"P","Joe Biden"
"438",31,"03 Feb 2015",41.8781136,-87.6297982,0,"O","Joe Biden"
"439",31,"03 Feb 2015",37.8043637,-122.2711137,1,"P","Joe Biden"
"440",31,"03 Feb 2015",39.1031182,-84.5120196,1,"P","Joe Biden"
"441",31,"03 Feb 2015",34.6867846,-118.1541632,1,"P","Joe Biden"
"442",31,"03 Feb 2015",33.7489954,-84.3879824,1,"P","Joe Biden"
"443",31,"03 Feb 2015",40.6528762,-73.959494,1,"P","Joe Biden"
"444",31,"03 Feb 2015",49.8997541,-97.1374937,1,"P","Joe Biden"
"445",31,"03 Feb 2015",43.0813888,-88.9117742,1,"P","Joe Biden"
"446",31,"03 Feb 2015",40.7830603,-73.9712488,0,"O","Joe Biden"
"447",31,"03 Feb 2015",35.5174913,-86.5804473,1,"P","Joe Biden"
"448",31,"03 Feb 2015",33.2098407,-87.5691735,0,"O","Joe Biden"
"449",31,"03 Feb 2015",42.3600825,-71.0588801,1,"P","Joe Biden"
"450",31,"03 Feb 2015",41.6005448,-93.6091064,-1,"N","Joe Biden"
"451",31,"03 Feb 2015",36.0726354,-79.7919754,0,"O","Joe Biden"
"452",31,"03 Feb 2015",40.7127837,-74.0059413,1,"P","Joe Biden"
"453",31,"03 Feb 2015",45.5619509,8.1173039,1,"P","Joe Biden"
"454",31,"03 Feb 2015",39.7392358,-104.990251,1,"P","Joe Biden"
"455",31,"03 Feb 2015",33.4483771,-112.0740373,1,"P","Joe Biden"
